Unnamed: 0,Tuned LS PBE,Tuned HS PBE,Tuned LS SCAN,Tuned HS SCAN,DLPNO-CCSD(T) SSE,Tuned LS PBE SSE,Tuned HS PBE SSE,Tuned LS SCAN SSE,Tuned HS SCAN SSE
Fe_AQIYII_comp_0_21111,45.51139831542969,68.9593505859375,,69.51553344726562,-14.144512012306905,-34.74393906838014,-48.899472058025935,,-51.3702184256411
Fe_AQIYOO_comp_1_3111,30.0,59.44129943847656,,59.098663330078125,-56.715966274987295,-56.16713463713718,-72.42716712407893,,-71.78764256557218
Fe_BQIFEC10_comp_0_21111,40.0,64.18350219726562,28.425216674804688,60.73036193847656,-32.395628122433784,-38.34500441860014,-56.34786036086643,-29.745151410254635,-56.26003584965271
Fe_CACDIW_comp_0_111111,38.560333251953125,48.84925842285156,35.82344055175781,45.39276123046875,-43.31478260497363,-45.96149649758575,-51.567125436807295,-41.86236187693722,-48.223246666466174
Fe_CACDOC_comp_1_111111,38.56658935546875,48.8848876953125,36.009979248046875,45.312042236328125,-43.58237370508847,-45.87009038767978,-51.49021387967357,-41.86561237667088,-48.05553978535757
Fe_CEHHON_comp_0_111111,34.2669677734375,63.54499816894531,31.18133544921875,47.43011474609375,-39.44509238753028,-38.41908875333097,-54.8237443525206,-34.16242015905806,-45.62910297154656
Fe_DETTUR_comp_0_33,29.69818115234375,40.92964172363281,31.617355346679688,38.26560974121094,-32.972109862353136,-19.760812646036243,-31.16707917473734,-22.9194472692442,-28.87577325764619
Fe_EMEBEF_comp_0_111111,48.383636474609375,61.65008544921875,52.929534912109375,61.3812255859375,-73.219594030125,-74.55209649278429,-85.1912332043556,-78.84391056325701,-85.84659550676858
Fe_EVOKOP_comp_1_111111,29.039459228515625,,23.015060424804688,31.50543212890625,-61.60275806509162,-46.18634879100874,,-46.983989992964034,-54.063534562063175
Fe_EYEWOV_comp_0_33,32.47222900390625,44.810943603515625,28.60908508300781,41.68708801269531,-40.186016777492455,-40.29607330366221,-48.00877556391042,-35.11827623944375,-44.44881901893793
Fe_GEQPOH_comp_0_33,27.3028564453125,37.82646179199219,26.046676635742188,,-38.15506408246621,-34.88254357215596,-42.87970698147786,-32.3537142241409,
Fe_GESJOG_comp_0_3111,,60.48873901367188,34.62013244628906,61.07452392578125,-25.538230312449738,,-49.683141861883215,,
Fe_GLYCFE_comp_2_111111,38.885345458984375,51.859893798828125,,48.89205932617188,-49.89680894258413,-53.7820694001414,-59.733692353289165,,-56.86042861819387
Fe_HIYRUE_comp_0_111111,35.700531005859375,47.342071533203125,38.21968078613281,44.57511901855469,-33.29659011251124,-23.13321956226301,-33.63552157363903,-31.783863821468316,-37.74761371282006
Fe_JOWGEH_comp_0_222,31.204833984375,44.17854309082031,,,-34.80255999245173,-34.75834551829327,-43.404648273510844,,
Fe_KAWTUX_comp_2_33,16.722183227539062,,7.345428466796875,25.53314208984375,-29.782293304751875,-6.024323447319239,,-3.620398438363308,-18.1475046375055
Fe_KIJNEW_comp_4_6,29.442367553710938,39.34761047363281,27.429656982421875,36.56265258789063,-38.75157122998417,-35.452312592872005,-42.83812758774047,-31.889006770804457,-39.044958282425746
Fe_KUNKEJ_comp_0_111111,32.12272644042969,48.26377868652344,37.76573181152344,46.40693664550781,-56.21117578244707,-58.9737557263488,-72.07916995579937,-65.0176980308596,-71.78440250413368
Fe_LELJAQ_comp_0_111111,23.413314819335938,43.322601318359375,22.672348022460938,30.0,-58.31901165944828,-36.88809394104755,-52.892268034921216,-34.79618767497803,-40.26507959781519
Fe_LOJJEZ_comp_0_411,59.39300537109375,63.133544921875,30.0,41.47560119628906,-27.21255028512928,,,,
Fe_MENXIN_comp_1_2211,,47.05810546875,,45.46165466308594,-61.05136251982685,,-57.80375744724607,,
Fe_MICYFE10_comp_1_111111,28.00987243652344,43.916778564453125,23.62998962402344,41.46087646484375,-23.89052575244592,-19.567391100853733,-31.334624590861125,-15.046224436796487,-28.797238806884423
Fe_NAXPAD_comp_0_33,28.52874755859375,40.33409118652344,28.80699157714844,37.39814758300781,-36.51101973006234,-33.75978501758497,-42.21015274408939,-31.857123806369465,-38.403483217504515
Fe_NEJBOT_comp_0_111111,30.0,58.334503173828125,20.0,55.0,-47.64964421990272,-46.58008383508514,-60.2730336003782,-36.11354294180305,-58.27621890106258
Fe_NOZZOU_comp_1_111111,32.542572021484375,47.82569885253906,31.466827392578125,45.06202697753906,-42.0047928976328,-43.740760018413575,-51.79202390825414,-40.02503812563718,-48.704887949820744
Fe_NUBTOW_comp_0_111111,34.33815002441406,47.65739440917969,28.636245727539062,45.0,-41.75109904014903,-44.6334207503245,-51.55457844257287,-38.04361974709174,-48.55247159209484
Fe_PAZXAP_comp_0_6,31.64703369140625,43.13629150390625,27.65289306640625,40.0,-22.80726309006241,-24.659345213837963,-32.310800659186214,-19.62797460560974,-28.815969408663637
Fe_QAXDOJ_comp_2_222,35.65765380859375,45.13877868652344,32.9876708984375,43.23509216308594,-40.66985441754014,-42.3278767942553,-48.026019337232746,-38.33996101885285,-45.44819755154619
Fe_RUHLUB_comp_0_411,30.838394165039062,40.15106201171875,40.27923583984375,37.50755310058594,-31.01796191234598,-19.93236606157693,-28.74380346536184,-34.918009275772526,-32.150142738827924
