Unnamed: 0,e_corr,e_ccsd,e_ccsdt,e_hf,ecorr_t
co_2_SH2-S-0-0_SH2-S-0-0_SH2-S-0-0_imidazole-N-2-0_SH2-S-0-0_imidazole-N-2-0_4,-3.17174205,-3428.724622855,-3428.851269779,-3425.6795277290003,96.00702320667986
co_2_misc-C-4-0_misc-C-4-0_misc-C-4-0_misc-C-4-0_misc-C-4-0_SH2-S-0-0_4,-3.393251438,-2442.790172523,-2442.92538958,-2439.532138142,96.015118258384
co_2_imidazole-N-2-0_imidazole-N-2-0_imidazole-N-2-0_thiocyanate-S-0-d1_thiocyanate-S-0-d1_thiocyanate-S-0-d1_4,-4.926369842,-3530.694159281,-3530.922722604,-3525.996352762,95.36041080287404
co_2_cs-C-0-0_cs-C-0-0_cs-C-0-0_cs-C-0-0_cs-C-0-0_acetonitrile-N-1-0_4,-2.7224675,-3692.364909907,-3692.50217415,-3689.77970665,94.95809433905464
co_3_formaldehyde-O-1-0_formaldehyde-O-1-0_formaldehyde-O-1-0_formaldehyde-O-1-0_formaldehyde-O-1-0_pyridine-N-3-0_5,-3.523501254,-2200.232233249,-2200.374445203,-2196.850943949,95.9639022736654
co_2_cs-C-0-0_cs-C-0-0_water-O-0-0_water-O-0-0_cs-C-0-0_water-O-0-0_4,-2.283931939,-2917.464588131,-2917.556658066,-2915.272726127,95.96879690553824
co_2_carbonyl-C-0-0_carbonyl-C-0-0_carbonyl-C-0-0_misc-C-4-0_misc-C-4-0_misc-C-4-0_4,-3.225896971,-2118.292216338,-2118.422452944,-2115.196555973,95.96277850251856
co_2_phosphine-P-0-0_phosphine-P-0-0_thiocyanate-S-0-d1_thiocyanate-S-0-d1_phosphine-P-0-0_thiocyanate-S-0-d1_4,-2.732992334,-3881.331123363,-3881.450024893,-3878.717032559,95.64940126173695
cr_2_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_misc-C-4-0_5,-3.600169967,-1838.372207717,-1838.521334276,-1834.921164309,95.8577911496708
cr_3_amine-N-0-d1_amine-N-0-d1_amine-N-0-d1_amine-N-0-d1_pyridine-N-3-0_pyridine-N-3-0_4,-3.48715798,-1762.781813064,-1762.938830986,-1759.4516730060002,95.49725240724166
cr_2_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_chloride-Cl-0-d1_5,-3.755462226,-2277.126208364,-2277.250211214,-2273.494748988,96.69806690793855
cr_2_chloride-Cl-0-d1_chloride-Cl-0-d1_chloride-Cl-0-d1_furan-O-0-0_furan-O-0-0_furan-O-0-0_5,-3.758269343,-3111.907631031,-3112.065865606,-3108.307596263,95.7896957200631
cr_2_misc-C-4-0_misc-C-4-0_misc-C-4-0_misc-C-4-0_formaldehyde-O-1-0_formaldehyde-O-1-0_5,-3.343110082,-1801.880646678,-1802.014747478,-1798.6716373959998,95.98874112097288
cr_2_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_water-O-0-0_5,-3.324542087,-1782.219926381,-1782.352454929,-1779.027912842,96.01363001183964
cr_2_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_water-O-0-0_water-O-0-0_water-O-0-0_5,-1.718018425,-2300.261993043,-2300.310808649,-2298.592790224,97.15860986764564
cr_2_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_chloride-Cl-0-d1_ome2-O-0-0_chloride-Cl-0-d1_5,-3.34512871,-2582.312399769,-2582.423954449,-2579.078825739,96.66516030709025
cr_2_formaldehyde-O-1-0_formaldehyde-O-1-0_formaldehyde-O-1-0_formaldehyde-O-1-0_phosphine-P-0-0_phosphine-P-0-0_5,-2.360516932,-2185.914315541,-2185.995280837,-2183.634763905,96.57001841832916
cr_2_furan-O-0-0_furan-O-0-0_furan-O-0-0_furan-O-0-0_pyridine-N-3-0_pyridine-N-3-0_5,-6.095788256,-2457.251578924,-2457.528137851,-2451.432349595,95.46311460659004
cr_2_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_water-O-0-0_water-O-0-0_water-O-0-0_5,-2.766344659,-1669.836630789,-1669.936049748,-1667.169705089,96.406125365599
cr_3_cs-C-0-0_cs-C-0-0_cs-C-0-0_cs-C-0-0_cs-C-0-0_thiocyanate-S-0-d1_4,-2.714197405,-3712.048288842,-3712.209522512,-3709.495325107,94.05961888759704
cr_2_formaldehyde-O-1-0_formaldehyde-O-1-0_formaldehyde-O-1-0_formaldehyde-O-1-0_formaldehyde-O-1-0_water-O-0-0_5,-2.647420331,-1691.225465076,-1691.31525195,-1688.667831619,96.60851460009675
cr_3_ammonia-N-0-0_ammonia-N-0-0_ammonia-N-0-0_ammonia-N-0-0_ammonia-N-0-0_amine-N-0-d1_4,-1.852488255,-1381.483405541,-1381.545221908,-1379.692733653,96.66306294610791
cr_2_furan-O-0-0_furan-O-0-0_furan-O-0-0_phosphine-P-0-0_furan-O-0-0_phosphine-P-0-0_5,-4.396296778,-2646.969189437,-2647.156845665,-2642.7605488870004,95.73149317535616
cr_2_cs-C-0-0_cs-C-0-0_cs-C-0-0_pyridine-N-3-0_cs-C-0-0_pyridine-N-3-0_5,-3.814102017,-3281.604349862,-3281.800937568,-3277.986835551,94.8457669689116
cr_2_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_pyridine-N-3-0_pyridine-N-3-0_pyridine-N-3-0_5,-5.106163953,-2184.254742338,-2184.486912591,-2179.380748638,95.45313751894774
cr_2_ammonia-N-0-0_ammonia-N-0-0_ammonia-N-0-0_carboxyl-O-1-d1_carboxyl-O-1-d1_carboxyl-O-1-d1_5,-3.072782274,-1779.799610912,-1779.911019928,-1776.838237654,96.37432769178578
cr_3_cyanide-C-0-d1_cyanide-C-0-d1_cyanide-C-0-d1_chloride-Cl-0-d1_cyanide-C-0-d1_chloride-Cl-0-d1_4,-2.28121191,-2333.908057667,-2334.016049605,-2331.734837695,95.2660277843267
cr_2_imidazole-N-2-0_imidazole-N-2-0_imidazole-N-2-0_imidazole-N-2-0_ammonia-N-0-0_ammonia-N-0-0_5,-4.540377849,-2059.507568474,-2059.702726744,-2055.162348895,95.70171742329936
cr_2_pyridine-N-3-0_pyridine-N-3-0_pyridine-N-3-0_pyridine-N-3-0_thiocyanate-S-0-d1_thiocyanate-S-0-d1_5,-5.649002585,-3015.793962978,-3016.066306248,-3010.417303663,95.17891404894569
cr_2_chloride-Cl-0-d1_chloride-Cl-0-d1_chloride-Cl-0-d1_imidazole-N-2-0_imidazole-N-2-0_imidazole-N-2-0_5,-3.790475286,-3100.507442079,-3100.669937244,-3096.879461958,95.71306623209288
cr_2_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_acetonitrile-N-1-0_5,-1.860625233,-2889.153468012,-2889.219110222,-2887.358484989,96.47203483883884
cr_2_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_water-O-0-0_ome2-O-0-0_water-O-0-0_5,-3.412606952,-1814.957462424,-1815.063988479,-1811.651381527,96.87845519573628
cr_3_ammonia-N-0-0_ammonia-N-0-0_ammonia-N-0-0_thiocyanate-S-0-d1_thiocyanate-S-0-d1_thiocyanate-S-0-d1_4,-2.800137301,-2684.475637704,-2684.605402768,-2681.805265467,95.3657606734553
cr_2_formaldehyde-O-1-0_formaldehyde-O-1-0_formaldehyde-O-1-0_formaldehyde-O-1-0_formaldehyde-O-1-0_SH2-S-0-0_5,-2.595966727,-2013.807966876,-2013.898573744,-2011.302607017,96.50970611226104
cr_2_carbonyl-C-0-0_carbonyl-C-0-0_carbonyl-C-0-0_phosphine-P-0-0_carbonyl-C-0-0_phosphine-P-0-0_5,-2.24753337,-2181.1096659,-2181.199321979,-2178.951788609,96.01091222061586
cr_2_misc-C-4-0_misc-C-4-0_misc-C-4-0_acetonitrile-N-1-0_misc-C-4-0_acetonitrile-N-1-0_5,-3.605135222,-1838.267231649,-1838.417734072,-1834.81259885,95.82533209623698
cr_2_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_formaldehyde-O-1-0_ome2-O-0-0_formaldehyde-O-1-0_5,-3.702296414,-1890.953438536,-1891.076257887,-1887.373961473,96.68261702289549
cr_2_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_thiocyanate-S-0-d1_5,-4.09148134,-2307.776944735,-2307.921760736,-2303.830279396,96.46054841838756
cr_2_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_water-O-0-0_5,-3.787247541,-1893.386777204,-1893.50795013,-1889.720702589,96.8005015598232
cr_2_furan-O-0-0_furan-O-0-0_ome2-O-0-0_ome2-O-0-0_furan-O-0-0_ome2-O-0-0_5,-4.99982747,-2196.31632956,-2196.512566048,-2191.512738578,96.075134808612
cr_2_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_ammonia-N-0-0_ammonia-N-0-0_5,-1.609089407,-2526.909055752,-2526.958098999,-2525.349009592,96.9521117479912
cr_2_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_thiocyanate-S-0-d1_5,-3.62905908,-2196.579090907,-2196.735612065,-2193.106552985,95.68700441217123
cr_2_cyanide-C-0-d1_cyanide-C-0-d1_cyanide-C-0-d1_hydroxyl-O-0-d1_cyanide-C-0-d1_hydroxyl-O-0-d1_5,-2.364311539,-1565.370774372,-1565.472894166,-1563.108582627,95.68078096665256
cr_2_cs-C-0-0_cs-C-0-0_cs-C-0-0_cs-C-0-0_cs-C-0-0_misc-C-4-0_5,-2.620194711,-3354.164389701,-3354.304050433,-3351.6838557220003,94.6698338328023
