Unnamed: 0,Tuned LS PBE,Tuned HS PBE,Tuned LS SCAN,Tuned HS SCAN
Fe_GESJOG_comp_0_3111,,60.488739013671875,34.62013244628906,61.07452392578125
Fe_GLYCFE_comp_2_111111,38.885345458984375,51.859893798828125,,48.892059326171875
Fe_HIYRUE_comp_0_111111,35.700531005859375,47.342071533203125,38.21968078613281,44.57511901855469
Fe_JOWGEH_comp_0_222,31.204833984375,44.17854309082031,,
Fe_KAWTUX_comp_2_33,16.722183227539062,,7.345428466796875,25.53314208984375
Fe_KIJNEW_comp_4_6,29.442367553710938,39.34761047363281,27.429656982421875,36.562652587890625
Fe_KUNKEJ_comp_0_111111,32.12272644042969,48.26377868652344,37.76573181152344,46.40693664550781
Fe_LELJAQ_comp_0_111111,23.413314819335938,43.322601318359375,22.672348022460938,30.0
Fe_LOJJEZ_comp_0_411,59.39300537109375,63.133544921875,30.0,41.47560119628906
Fe_MENXIN_comp_1_2211,,47.05810546875,,45.46165466308594
Fe_MICYFE10_comp_1_111111,28.009872436523438,43.916778564453125,23.629989624023438,41.46087646484375
Fe_NAXPAD_comp_0_33,28.52874755859375,40.33409118652344,28.806991577148438,37.39814758300781
Fe_NEJBOT_comp_0_111111,30.0,58.334503173828125,20.0,55.0
Fe_NOZZOU_comp_1_111111,32.542572021484375,47.82569885253906,31.466827392578125,45.06202697753906
Fe_NUBTOW_comp_0_111111,34.33815002441406,47.65739440917969,28.636245727539062,45.0
Fe_PAZXAP_comp_0_6,31.64703369140625,43.13629150390625,27.65289306640625,40.0
Fe_QAXDOJ_comp_2_222,35.65765380859375,45.13877868652344,32.9876708984375,43.23509216308594
Fe_RUHLUB_comp_0_411,30.838394165039062,40.15106201171875,40.27923583984375,37.50755310058594
Fe_SANLAU_comp_0_6,55.0,42.3040771484375,31.029586791992188,39.50584411621094
Fe_SASXES_comp_2_111111,28.225479125976562,,22.81280517578125,
Fe_SEDQOI_comp_0_111111,41.679229736328125,49.338836669921875,39.926605224609375,48.96240234375
Fe_SELFAQ_comp_1_111111,31.4422607421875,47.32093811035156,27.689437866210938,44.808349609375
Fe_VOBHUP_comp_0_2211,21.032867431640625,33.99467468261719,18.516845703125,31.180267333984375
Fe_WABHIR_comp_0_111111,39.99198913574219,50.690460205078125,,47.3773193359375
Fe_XILLEK_comp_0_111111,45.40824890136719,50.417327880859375,43.23829650878906,53.184661865234375
Fe_XIQFIN_comp_1_111111,29.242935180664062,,23.495025634765625,
Fe_XOPSEB_comp_0_411,36.62345886230469,47.41355895996094,58.95256042480469,44.564056396484375
Mn_AQAWIY_comp_0_411,31.856002807617188,45.0,25.630111694335938,45.0
Mn_FAMBOL_comp_1_111111,53.04351806640625,63.079376220703125,52.964324951171875,60.488739013671875
Mn_FARTOH_comp_0_3111,,58.75877380371094,,55.46592712402344
Mn_GEGLIP_comp_0_3111,,,,
Mn_LEZMEK_comp_1_111111,34.873046875,38.07929992675781,29.951934814453125,34.63417053222656
Mn_MEDHOS_comp_0_3111,32.46253967285156,51.086578369140625,31.270523071289062,52.6129150390625
Mn_MNACAC_comp_0_2211,100.0,79.10072326660156,100.0,79.55894470214844
Mn_PUKJIR_comp_0_111111,64.53819274902344,65.0,64.46395874023438,62.511138916015625
Mn_QETLAC_comp_0_2211,60.0,,30.940628051757812,70.0
Mn_VUMSON_comp_0_111111,,72.47428894042969,,73.61976623535156
